"Package","Title","Description","License","Authors","Maintainer","Date published (CRAN)","Has tests?","Has Vingettes?","# Contributors","# Repo stars","On CRAN?"
"hedtree","A Package For Decision Tree Modelling","This package uses the `data.tree` package for simply specifying decision tree models in health economics, and includes utilities for visualisation and applying model to arbitrary PSA data.","CC BY 4.0","Pete Dodd","Pete Dodd <p.j.dodd@sheffield.ac.uk>",NA,TRUE,TRUE,3,5,FALSE
"tuu","Implement Transfer to Utility Mapping Algorithms","Modules from the readyforwhatsnext youth mental health economic model (https://readyforwhatsnext.org/) that can be used to develop, assess, report and share utility mapping models. Outputs produced through use of TTU package modules are designed to integrate with health economic models developed with the ready4 framework (https://www.ready4-dev.com/). This development version of the TTU package has been made available as part of the process of testing and documenting the package. If you have any questions, please contact the authors (matthew.hamilton1@monash.edu).","GPL-3","Matthew Hamilton","Matthew Hamilton <matthew.hamilton1@monash.edu>",NA,FALSE,TRUE,1,1,FALSE
"dalycalculator","Calculates DALYs","Calculates Disability-Adjusted Life Years for individuals or populations to quantify disease burden. Outputs a vector of Years of Life Lost, Years Lived in Disease, and total DALYs",NA,"Joanna Emerson","Joanna Emerson <jemerson@tuftsmedicalcenter.org>",NA,FALSE,FALSE,1,2,FALSE
"ceact","Cost-Effectiveness Analysis Toolkit for Clinical Trials","CEACT (Cost-Effectiveness Analysis Toolkit for Clinical Trials) is a comprehensive R package designed to facilitate the economic evaluation of healthcare interventions within the context of clinical trials. It offers a suite of analytical tools and models to assess the cost-effectiveness of medical treatments, integrating both clinical outcomes and economic considerations. The package supports various types of cost-effectiveness analyses, including incremental cost-effectiveness ratios (ICERs) and cost-utility analyses (CUAs).","MIT + file LICENSE","Imad EL BADISY","Imad EL BADISY <elbadisyimad@gmail.com>",NA,FALSE,FALSE,1,6,FALSE
"rrapidmarkov","Quick, simple Markov modelling for Health Economic evaluation","Takes a set of transition probabilities and calculates the Markov trace (i.e. proportions of cohort in each state at eact time period), then applies values to each (eg costs, health state utilities) for use in health economic evaluations / cost-effectiveness or cost-utility analyses. The package is built as a 'no-frills' approach, with a focus on computational speed, thus is quite efficient for probabilistic analyses.","GPL-2","Ed Wilson","Ed Wilson <ed.wilson@uea.ac.uk>",NA,FALSE,TRUE,1,0,FALSE
"survHE","Survival Analysis in Health Economic Evaluation","Contains a suite of functions for survival analysis in health economics.    These can be used to run survival models under a frequentist (based on maximum likelihood)    or a Bayesian approach (both based on Integrated Nested Laplace Approximation or Hamiltonian    Monte Carlo). To run the Bayesian models, the user needs to install additional modules     (packages), i.e. 'survHEinla' and 'survHEhmc'. These can be installed using     'remotes::install_github' from their GitHub repositories:     (<https://github.com/giabaio/survHEhmc> and <https://github.com/giabaio/survHEinla/>     respectively). 'survHEinla' is based on the package INLA, which is available for download at    <https://inla.r-inla-download.org/R/stable/>. The user can specify a set of parametric models     using a common notation and select the preferred mode of inference. The results can also be     post-processed to produce probabilistic sensitivity analysis and can be used to export the     output to an Excel file (e.g. for a Markov model, as often done by modellers and     practitioners). <doi:10.18637/jss.v095.i14>.","GPL (>= 3)","Gianluca Baio, Andrea Berardi, Philip Cooney, Andrew Jones, Nathan Green","Gianluca Baio","2024-10-04 09:50:02 UTC",TRUE,FALSE,6,41,TRUE
"survHEhmc","Survival Analysis in Health Economic Evaluation using Hamiltonian Monte Carlo","A module to complement the backbone structure of the package 'survHE' and expand its functionality to run survival models under a Bayesian approach (based on Hamiltonian Monte Carlo). <doi:10.18637/jss.v095.i14>.","MIT + file LICENSE","Gianluca Baio","Gianluca Baio <g.baio@ucl.ac.uk>",NA,FALSE,FALSE,1,5,FALSE
"rpsftmPlus","Extensions To Rpsftm Package","A collection of extenstions to the rpsftm package to enable descriptive analysis of trials affected by treatment switching and enable additional analysis of rpsft models.","Apache License (>= 2)","Iain Bennett","Iain Bennett <iain.bennett@roche.com>",NA,FALSE,TRUE,1,3,FALSE
"survdigitzerR","Digitizing Survival Curves","This package digitizes published Kaplan-Meier survival curves in the form of jpegs or pngs for the purpose of generating a representative dataset.","MIT + file LICENSE","Jasper Zhongyuan Zhang","Jasper Zhongyuan Zhang <jasper.zhang@sickkids.ca>",NA,FALSE,TRUE,3,9,FALSE
"maic","Matching-Adjusted Indirect Comparison","A generalised workflow for generation of subject weights to be     used in Matching-Adjusted Indirect Comparison (MAIC) per Signorovitch et     al. (2012) <doi:10.1016/j.jval.2012.05.004>, Signorovitch et al (2010)     <doi:10.2165/11538370-000000000-00000>. In MAIC, unbiased     comparison between outcomes of two trials is facilitated by weighting the    subject-level outcomes of one trial with weights derived such that the     weighted aggregate measures of the prognostic or effect modifying variables     are equal to those of the sample in the comparator trial. The functions and    classes included in this package wrap and abstract the process demonstrated    in the UK National Institute for Health and Care Excellence Decision     Support Unit (NICE DSU)'s example (Phillippo et al, (2016) [see URL]),    providing a repeatable and easily specifiable workflow for producing     multiple comparison variable sets against a variety of target studies, with    preprocessing for a number of aggregate target forms (e.g. mean, median,     domain limits).","GPL-3","Rob Young","Rob Young","2022-04-27 14:50:07 UTC",TRUE,TRUE,3,3,TRUE
"flexsurvPlus","Provides Functions to Perform Survival Analysis for Economic models","A group of functions designed to perform survival analyses.","Apache License (>= 2)","Iain Bennett","Iain Bennett <iain.bennett@roche.com>",NA,TRUE,TRUE,4,2,FALSE
"gemtc","Network Meta-Analysis Using Bayesian Methods","Network meta-analyses (mixed treatment comparisons) in the Bayesian    framework using JAGS. Includes methods to assess heterogeneity and    inconsistency, and a number of standard visualizations.    van Valkenhoef et al. (2012) <doi:10.1002/jrsm.1054>;    van Valkenhoef et al. (2015) <doi:10.1002/jrsm.1167>.","GPL-3","Gert van Valkenhoef, Joel Kuiper","Gert van Valkenhoef","2023-06-21 19:00:02 UTC",TRUE,TRUE,3,5,TRUE
"youthu","Transform Youth Outcomes to Health Utility Predictions","Tools for mapping measures routinely collected in youth mental health services to Quality Adjusted Life Years (QALYs). Part of the ready4forwhatsnext youth mental health systems model (https://readyforwhatsnext.org/). This development version of the youthu package has been made available as part of the process of testing and documenting the package. If you have any questions, please contact the authors (matthew.hamilton1@monash.edu).","GPL-3","Matthew Hamilton","Matthew Hamilton <matthew.hamilton1@monash.edu>",NA,FALSE,TRUE,1,1,FALSE
"bimp","Undertake Health Economic Budget Impact Analysis.","Tools for undertaking budget impact analyses for mental health projects. This highly preliminary development version of the bimp package has been made available as part of the process of testing and documenting the package. If you have any questions, please contact the authors (matthew.hamilton1@monash.edu).","GPL-3","Matthew Hamilton","Matthew Hamilton <matthew.hamilton1@monash.edu>",NA,FALSE,TRUE,1,3,FALSE
"rdecision","Decision Analytic Modelling in Health Economics","Classes and functions for modelling health care interventions   using decision trees and semi-Markov models. Mechanisms are provided for   associating an uncertainty distribution with each source variable and for  ensuring transparency of the mathematical relationships between variables.  The package terminology follows Briggs ""Decision Modelling for Health  Economic Evaluation"" (2006, ISBN:978-0-19-852662-9).","GPL-3","Andrew Sims, Kim Fairbairn, Paola Cognigni","Andrew Sims","2024-06-09 22:10:02 UTC",TRUE,TRUE,2,1,TRUE
"data.tree","General Purpose Hierarchical Data Structure","Create tree structures from hierarchical data, and traverse the    tree in various orders. Aggregate, cumulate, print, plot, convert to and from    data.frame and more. Useful for decision trees, machine learning, finance,    conversion from and to JSON, and many other applications.","GPL (>= 2)","Russ Hyde, Chris Hammill, Facundo Munoz, Markus Wamser, Pierre Formont, Kent Russel, Noam Ross, Duncan Garmonsway, Christoph Glur","Christoph Glur","2023-11-12 20:23:21 UTC",TRUE,TRUE,12,207,TRUE
"mstate","Data Preparation, Estimation and Prediction in Multi-State
Models","Contains functions for data preparation, descriptives, hazard estimation and prediction with Aalen-Johansen or simulation in competing risks and multi-state models, see Putter, Fiocco, Geskus (2007) <doi:10.1002/sim.2712>.","GPL (>= 2)","Hein Putter, Liesbeth C de Wreede, Marta Fiocco, Ronald B Geskus, Edouard F Bonneville, Damjan Manevski","Hein Putter","2024-07-11 21:30:06 UTC",FALSE,TRUE,5,7,TRUE
"hesim","Health Economic Simulation Modeling and Decision Analysis","A modular and computationally efficient R package for    parameterizing, simulating, and analyzing health economic simulation   models. The package supports cohort discrete time state transition models   (Briggs et al. 1998) <doi:10.2165/00019053-199813040-00003>,  N-state partitioned survival models (Glasziou et al. 1990)  <doi:10.1002/sim.4780091106>, and individual-level continuous   time state transition models (Siebert et al. 2012) <doi:10.1016/j.jval.2012.06.014>,  encompassing both Markov (time-homogeneous and time-inhomogeneous) and   semi-Markov processes. Decision uncertainty from a cost-effectiveness analysis is   quantified with standard graphical and tabular summaries of a probabilistic   sensitivity analysis (Claxton et al. 2005, Barton et al. 2008) <doi:10.1002/hec.985>,   <doi:10.1111/j.1524-4733.2008.00358.x>. Use of C++ and data.table  make individual-patient simulation, probabilistic sensitivity analysis,   and incorporation of patient heterogeneity fast.","GPL-3","Devin Incerti, Jeroen P Jansen, Mark Clements, R Core","Devin Incerti","2024-09-18 23:10:02 UTC",TRUE,TRUE,4,63,TRUE
"heemod","Markov Models for Health Economic Evaluations","An implementation of the modelling and reporting features described     in reference textbook and guidelines (Briggs, Andrew, et al. Decision     Modelling for Health Economic Evaluation. Oxford Univ. Press, 2011;    Siebert, U. et al. State-Transition Modeling. Medical Decision Making     32, 690-700 (2012).): deterministic and probabilistic sensitivity analysis,     heterogeneity analysis, time dependency on state-time and model-time     (semi-Markov and non-homogeneous Markov models), etc.","GPL (>= 3)","Kevin Zarca, Antoine Filipovic-Pierucci, Matthew Wiener, Zdenek Kabat, Vojtech Filipec, Jordan Amdahl, Yonatan Carranza Alarcon, Vince Daniels","Kevin Zarca","2024-09-11 16:00:02 UTC",TRUE,TRUE,9,41,TRUE
"gems","Generalized Multistate Simulation Model","Simulate and analyze multistate models with general hazard    functions. gems provides functionality for the preparation of hazard functions    and parameters, simulation from a general multistate model and predicting future    events. The multistate model is not required to be a Markov model and may take    the history of previous events into account. In the basic version, it allows    to simulate from transition-specific hazard function, whose parameters are    multivariable normally distributed.","GPL-2","Luisa Salazar Vizcaya, Nello Blaser, Thomas Gsponer","Luisa Salazar Vizcaya","2017-03-26 16:02:51 UTC",FALSE,TRUE,2,0,TRUE
